"store_id","hub_id","store_segment","store_plan_price","store_latitude","store_longitude"
"661","20","FOOD","49","-22.996847","-43.3612"
"666","25","FOOD","49","-23.570765","-46.642044"
"669","29","FOOD","49","-23.561052","-46.558975"
"673","18","FOOD","49","-22.95033","-43.184895"
"674","29","FOOD","49","-23.561052","-46.558975"
"676","31","FOOD",,"-23.631836","-46.735203"
"678","18","FOOD","49","-22.94956","-43.18502"
"679","18","FOOD","49","-22.94733","-43.183533"
"681","5","FOOD","49","-23.003717","-43.317444"
"682","25","FOOD","49","-23.570765","-46.642044"
"684","17","GOOD","29","-23.59955","-46.636757"
"685","20","GOOD","29","-22.996847","-43.3612"
"686","29","FOOD","49","-23.561052","-46.558975"
"687","17","GOOD","29","-23.59955","-46.636757"
"689","17","GOOD","29","-23.59955","-46.636757"
"690","29","FOOD","49","-23.561052","-46.558975"
"692","29","FOOD","49","-23.561052","-46.558975"
"693","29","GOOD","29","-23.561052","-46.558975"
"695","5","FOOD","49","-23.004908","-43.318363"
"697","21","GOOD","29","-23.550407","-46.72129"
"700","21","GOOD","29","-23.550407","-46.72129"
"701","21","GOOD","29","-23.550407","-46.72129"
"702","21","GOOD",,"-23.550407","-46.72129"
"706","17","GOOD","29","-23.59955","-46.636757"
"707","33","FOOD",,"-23.579067","-46.594006"
"716","33","FOOD","49","-23.579067","-46.594006"
"728","33","FOOD","49","-23.579067","-46.594006"
"735","33","FOOD","49","-23.579067","-46.594006"
"739","16","GOOD","29","-23.020708","-43.4897"
"745","3","GOOD",,"-30.037361","-51.204754"
"747","21","GOOD","29","-23.550407","-46.72129"
"748","27","FOOD","49","-23.622995","-46.699203"
"753","3","FOOD","0","-30.038145","-51.20352"
"754","13","GOOD",,"-22.887522","-43.283367"
"762","26","GOOD","29","-23.563759","-46.652622"
"763","26","GOOD","49","-23.563759","-46.652622"
"767","29","FOOD","49","-23.561052","-46.558975"
"771","27","FOOD","49","-23.622995","-46.699203"
"773","18","FOOD","49","-22.94733","-43.183533"
"780","29","FOOD",,"-23.561052","-46.558975"
"783","22","FOOD","49","-23.000149","-43.381737"
